planning_unit,segment,target_service_level,fit_demand_mean,fit_demand_std,expected_leadtime_demand,order_quantity,segmented_safety_stock,segmented_reorder_point,demand_only_safety_stock,demand_only_reorder_point,flat_baseline_safety_stock,flat_baseline_reorder_point,leadtime_share_of_variance
LIJA Women's Eyelet Sleeveless Golf Polo,BZ,0.95,1.0649171270718232,1.931019587150267,4.2531443831283084,135.64568384092775,6.816751409442723,11.069895792571032,6.347622530365554,10.600766913493862,2.1265721915641542,6.379716574692463,0.13290382046223304
Titleist Pro V1x High Numbers Personalized Go,CZ,0.9,1.0276243093922652,2.0060239548978482,4.104201583719147,148.99168119449652,5.466901726980271,9.571103310699417,5.137707288113219,9.241908871832365,2.0521007918595733,6.15630237557872,0.11680585610211767
Nike Men's Comfort 2 Slide,CZ,0.9,1.1284530386740332,2.060983754214473,4.506898782121697,167.8373030175456,5.663202109378692,10.17010089150039,5.27846700377506,9.785365785896758,2.2534493910608484,6.760348173182545,0.13125663640835783
Titleist Pro V1 High Numbers Personalized Gol,CZ,0.9,0.9820441988950276,1.8388637474976723,3.922160384441281,145.649954492694,5.03670222833509,8.958862612776372,4.709586669839678,8.63174705428096,1.9610801922206405,5.883240576661922,0.12567472090311727
Titleist Pro V1x Golf Balls,CZ,0.9,0.9765193370165746,1.903843687550052,3.9000947845288123,151.17145495243258,5.189205963092806,9.089300747621618,4.876009364231317,8.77610414876013,1.9500473922644062,5.850142176793218,0.1170680247045648
Under Armour Men's Compression EV SL Slide,CZ,0.9,0.9378453038674033,1.8212678690959845,3.7456355851415326,153.00737029541227,4.966427190649006,8.712062775790539,4.664521169757099,8.410156754898631,1.8728177925707663,5.618453377712299,0.11788340793466258
TYR Boys' Team Digi Jammer,CZ,0.9,1.0041436464088398,1.9328232630884248,4.010422784091155,167.92948761963146,5.2761771242999265,9.286599908391082,4.950230101270076,8.960652885361231,2.0052113920455774,6.015634176136732,0.11973782590837538
ENO Atlas Hammock Straps,CZ,0.9,1.1284530386740332,2.076361679693798,4.506898782121697,205.5693040978492,5.699929323726321,10.206828105848018,5.31785201690927,9.824750799030966,2.2534493910608484,6.760348173182545,0.12957059456274334
Under Armour Hustle Storm Medium Duffle Bag,CZ,0.9,0.9834254143646409,1.8867673089829378,3.9276767844193983,177.6656559997831,5.152476374917559,9.080153159336957,4.832274375721017,8.759951160140416,1.9638383922096991,5.891515176629097,0.12042849220511734
Bridgestone e6 Straight Distance NFL Carolina,CZ,0.9,1.117403314917127,2.0475065692401735,4.46276758229676,198.06266164044132,5.623754883352647,10.086522465649406,5.24395005232159,9.70671763461835,2.23138379114838,6.694151373445139,0.13051053096605122
Columbia Men's PFG Anchor Tough T-Shirt,CZ,0.9,1.0552486187845305,2.0178285766972004,4.2145295832814895,198.75658243738775,5.512603536393761,9.727133119675251,5.167940571870311,9.3824701551518,2.1072647916407448,6.321794374922234,0.1211363485132624
Nike Women's Tempo Shorts,CZ,0.9,1.0013812154696133,1.9555922644609598,3.999389984134921,193.61715956121955,5.329209349982654,9.328599334117575,5.008544691187668,9.007934675322588,1.9996949920674605,5.999084976202381,0.11672173398299304
Nike Men's Deutschland Weltmeister Winners Bl,CZ,0.9,1.0469613259668509,2.0241977783322347,4.181431183412786,197.97458629391352,5.522687240168943,9.704118423581729,5.184252986076475,9.36568416948926,2.090715591706393,6.272146775119179,0.11880611460733309
Team Golf St. Louis Cardinals Putter Grip,CZ,0.9,1.1201657458563536,2.0269776573483353,4.473800382252994,224.36895730569086,5.576593084795541,10.050393467048536,5.191372644167408,9.665173026420401,2.236900191126497,6.7107005733794916,0.13338441137860707
Team Golf Pittsburgh Steelers Putter Grip,CZ,0.9,1.042817679558011,1.952291504580483,4.164881983478435,216.48400725422846,5.34751148947399,9.512393472952425,5.000090984514409,9.164972967992844,2.0824409917392175,6.247322975217653,0.12571634046583618
Team Golf Tennessee Volunteers Putter Grip,CZ,0.9,1.080110497237569,1.98310763543508,4.313824782887597,220.3209112203709,5.445464890599686,9.759289673487283,5.079015396008376,9.392840178895973,2.1569123914437984,6.470737174331395,0.13006033294587319
Team Golf Texas Longhorns Putter Grip,CZ,0.9,0.9792817679558011,1.8567991117091522,3.9111275844850466,209.7854965863179,5.0779166808696665,8.989044265354714,4.755521640456206,8.666649224941253,1.9555637922425233,5.8666913767275695,0.12294832288930663
Team Golf San Francisco Giants Putter Grip,CZ,0.9,0.9267955801104972,1.8344785178810037,3.7015043853165954,204.08618274752877,4.991399937774425,8.692904323091021,4.698355484834833,8.399859870151428,1.8507521926582977,5.552256577974893,0.1139728954924912
Bag Boy Beverage Holder,CZ,0.9,0.9696132596685083,1.976812854532088,3.872512784638227,208.74731525763085,5.361049527551751,9.233562312189978,5.062893583682349,8.935406368320576,1.9362563923191134,5.80876917695734,0.10813738553000096
Glove It Women's Mod Oval 3-Zip Carry All Gol,CZ,0.9,1.0469613259668509,1.9390445933186944,4.181431183412786,231.23707066303862,5.318493976635113,9.4999251600479,4.966163796173257,9.147594979586042,2.090715591706393,6.272146775119179,0.12810389884794895
Nike Women's Legend V-Neck T-Shirt,CZ,0.9,0.9488950276243094,1.8140031291945617,3.78976678496647,206.4637603016376,4.955914488728523,8.745681273694993,4.645915157078806,8.435681942045276,1.894883392483235,5.684650177449704,0.12119010045339335
Nike Dri-FIT Crew Sock 6 Pack,CZ,0.9,1.037292817679558,1.8802287513941933,4.1428163835659655,230.11455902039805,5.171681525906013,9.314497909471978,4.815528217283866,8.95834460084983,2.0714081917829827,6.214224575348949,0.13298957798709712
Glove It Women's Imperial Golf Glove,CZ,0.9,1.080110497237569,1.9557177905550505,4.313824782887597,246.33858962666287,5.380095807822308,9.693920590709904,5.0088661810317365,9.322690963919333,2.1569123914437984,6.470737174331395,0.1332400438261993
Top Flite Women's 2014 XL Hybrid,CZ,0.9,1.020718232044199,1.910402920185721,4.076619583828561,239.4700987434758,5.232952225697251,9.309571809525812,4.8928084743488345,8.969428058177396,2.0383097919142803,6.114929375742841,0.12577566348539596
Hirzl Women's Soffft Flex Golf Glove,CZ,0.9,1.022099447513812,1.9621756663356775,4.082135983806677,252.601397894691,5.3580074925838455,9.440143476390523,5.025405702099194,9.107541685905872,2.0410679919033385,6.123203975710016,0.12029791111350487
Glove It Imperial Golf Towel,CZ,0.9,1.0980662983425415,2.046498643592609,4.38553798260312,277.71210109645074,5.6087368293976345,9.994274812000754,5.241368614082666,9.626906596685785,2.19276899130156,6.57830697390468,0.12670840141369252
Glove It Urban Brick Golf Towel,CZ,0.9,0.9930939226519337,1.936390058501354,3.966291584266218,264.1044294542482,5.277841798176517,9.244133382442735,4.959365162067069,8.925656746333287,1.983145792133109,5.949437376399327,0.11704323697200973
Hirzl Women's Hybrid Golf Glove,CZ,0.9,1.0455801104972375,2.0490175280764635,4.175914783434669,279.8869150445391,5.581545812165122,9.757460595599792,5.247819828754864,9.423734612189532,2.0879573917173344,6.263872175152003,0.11600696144488011
Hirzl Men's Hybrid Golf Glove,CZ,0.9,0.9654696132596685,1.8393789695282659,3.855963584703875,268.9510495600148,5.027334388688766,8.883297973392642,4.7109062253589995,8.566869810062874,1.9279817923519376,5.7839453770558125,0.12192144060794687
Clicgear 8.0 Shoe Brush,CZ,0.9,1.0,1.9481522969369867,3.9938735841568036,335.29108994590064,5.31044474655754,9.304318330714343,4.989489896115099,8.983363480271903,1.9969367920784018,5.990810376235205,0.11722402339764162
