planning_unit,observations,active_weeks,zero_weeks,first_week,last_week,weekly_mean,weekly_std,weekly_variance,coefficient_of_variation,zero_week_share,total_units,sufficient_observations,intermittent,variance_estimate_trustworthy
MDGolf Pittsburgh Penguins Putter,20,19,1,2017-04-17,2017-08-28,6.6,3.898717737923586,15.200000000000001,0.5907148087763009,0.05,132.0,False,False,False
Merrell Men's All Out Flash Trail Running Sho,21,21,0,2017-04-17,2017-09-04,3.9523809523809526,1.5644868320376006,2.447619047619048,0.39583401774445315,0.0,83.0,False,False,False
Garmin Approach S3 Golf GPS Watch,20,18,2,2017-04-24,2017-09-04,3.7,2.1051315748352697,4.431578947368423,0.568954479685208,0.1,74.0,False,False,False
LIJA Women's Button Golf Dress,21,21,0,2017-04-17,2017-09-04,3.4285714285714284,1.8860389330930727,3.557142857142856,0.5500946888188128,0.0,72.0,False,False,False
Cleveland Golf Women's 588 RTX CB Satin Chrom,21,18,3,2017-04-17,2017-09-04,3.238095238095238,1.868281614338746,3.4904761904761905,0.5769693220752009,0.14285714285714285,68.0,False,True,False
Merrell Women's Siren Mid Waterproof Hiking B,20,19,1,2017-04-24,2017-09-04,3.35,1.6944180805158293,2.8710526315789475,0.5057964419450237,0.05,67.0,False,False,False
TaylorMade Women's RBZ SL Rescue,21,20,1,2017-04-17,2017-09-04,3.0952380952380953,2.047065262876636,4.190476190476191,0.6613595464678362,0.047619047619047616,65.0,False,False,False
Mio ALPHA Heart Rate Monitor/Sport Watch,20,20,0,2017-04-24,2017-09-04,3.25,1.6503588126605426,2.723684210526316,0.5078027115878593,0.0,65.0,False,False,False
Nike Men's Fingertrap Max Training Shoe,20,20,0,2017-04-24,2017-09-04,3.15,1.6944180805158295,2.8710526315789484,0.537910501751057,0.0,63.0,False,False,False
TaylorMade 2014 Purelite Stand Bag,20,20,0,2017-04-24,2017-09-04,3.15,1.3869694338832115,1.923684210526316,0.4403077567883211,0.0,63.0,False,False,False
Yakima DoubleDown Ace Hitch Mount 4-Bike Rack,20,19,1,2017-04-24,2017-09-04,3.1,1.651155894963793,2.7263157894736842,0.5326309338592881,0.05,62.0,False,False,False
Cleveland Golf Collegiate My Custom Wedge 588,20,20,0,2017-04-24,2017-09-04,3.1,1.252366181526625,1.5684210526315794,0.4039890908150403,0.0,62.0,False,False,False
adidas Brazuca 2014 Official Match Ball,21,21,0,2017-04-24,2017-09-11,2.9523809523809526,1.3219754338182867,1.7476190476190474,0.44776587274490354,0.0,62.0,False,False,False
Ogio Race Golf Shoes,19,18,1,2017-04-24,2017-08-28,3.210526315789474,1.6858544608470492,2.8421052631578947,0.525102209116294,0.05263157894736842,61.0,False,False,False
Nike Men's Kobe IX Elite Low Basketball Shoe,21,20,1,2017-04-17,2017-09-04,2.8095238095238093,1.8060744065250363,3.261904761904762,0.6428400430004367,0.047619047619047616,59.0,False,False,False
insta-bed Neverflat Air Mattress,21,20,1,2017-04-17,2017-09-04,2.761904761904762,1.7292993351285921,2.990476190476191,0.6261256213396627,0.047619047619047616,58.0,False,False,False
GolfBuddy VT3 GPS Watch,21,20,1,2017-04-17,2017-09-04,2.6666666666666665,1.3540064007726602,1.8333333333333337,0.5077524002897477,0.047619047619047616,56.0,False,False,False
Merrell Women's Grassbow Sport Waterproof Hik,21,21,0,2017-04-17,2017-09-04,2.5714285714285716,1.325572652532805,1.757142857142857,0.5155004759849797,0.0,54.0,False,False,False
Titleist Small Wheeled Travel Cover,20,17,3,2017-04-24,2017-09-04,2.55,2.4809802816416613,6.155263157894737,0.9729334437810437,0.15,51.0,False,True,False
Polar Loop Activity Tracker,20,18,2,2017-04-24,2017-09-04,2.4,1.465390194130093,2.147368421052632,0.6105792475542055,0.1,48.0,False,False,False
Pelican Maverick 100X Kayak,3,3,0,2017-09-11,2017-09-25,13.333333333333334,2.309401076758503,5.333333333333333,0.1732050807568877,0.0,40.0,False,False,False
Total Gym 1400,3,3,0,2017-09-11,2017-09-25,12.0,5.5677643628300215,30.999999999999996,0.46398036356916844,0.0,36.0,False,False,False
Titleist Club Glove Travel Cover,3,3,0,2017-09-11,2017-09-25,11.0,1.0,1.0,0.09090909090909091,0.0,33.0,False,False,False
Garmin Forerunner 910XT GPS Watch,3,3,0,2017-09-11,2017-09-25,11.0,5.291502622129181,28.000000000000004,0.48104569292083466,0.0,33.0,False,False,False
GoPro HERO3+ Black Edition Camera,3,3,0,2017-09-11,2017-09-25,10.666666666666666,1.5275252316519468,2.3333333333333335,0.14320549046737002,0.0,32.0,False,False,False
Garmin Approach S4 Golf GPS Watch,3,3,0,2017-09-11,2017-09-25,10.333333333333334,2.0816659994661326,4.333333333333333,0.2014515483354322,0.0,31.0,False,False,False
Diamondback Boys' Insight 24 Performance Hybr,3,3,0,2017-09-11,2017-09-25,9.333333333333334,4.163331998932265,17.333333333333332,0.4460712855998855,0.0,28.0,False,False,False
Diamondback Girls' Clarity 24 Hybrid Bike 201,3,3,0,2017-09-11,2017-09-25,8.666666666666666,2.516611478423583,6.333333333333333,0.29037824751041347,0.0,26.0,False,False,False
Stiga Master Series ST3100 Competition Indoor,3,3,0,2017-09-11,2017-09-25,8.333333333333334,2.516611478423583,6.333333333333333,0.30199337741082993,0.0,25.0,False,False,False
Bowflex SelectTech 1090 Dumbbells,1,1,0,2017-09-25,2017-09-25,7.0,0.0,0.0,0.0,0.0,7.0,False,False,False
SOLE E35 Elliptical,1,1,0,2017-09-25,2017-09-25,6.0,0.0,0.0,0.0,0.0,6.0,False,False,False
Bushnell Pro X7 Jolt Slope Rangefinder,1,1,0,2017-09-25,2017-09-25,4.0,0.0,0.0,0.0,0.0,4.0,False,False,False
SOLE E25 Elliptical,1,1,0,2017-09-25,2017-09-25,2.0,0.0,0.0,0.0,0.0,2.0,False,False,False
