,revenue,revenue_share,cumulative_revenue_share,abc_class,xyz_class,coefficient_of_variation,segment,target_service_level,observations,weekly_mean,weekly_std,zero_week_share,variance_estimate_trustworthy,carried_to_policy
Bridgestone e6 Straight Distance NFL Tennesse,24312.39977408,0.0007414973341668597,0.9709537647145011,C,Z,0.799467759384764,CZ,0.9,119,6.38655462184874,5.1058445137178206,0.11764705882352941,False,False
Team Golf St. Louis Cardinals Putter Grip,22990.79978397,0.0007011902119326213,0.9716549549264337,C,Z,0.7273672461433983,CZ,0.9,119,7.73109243697479,5.623343415562407,0.058823529411764705,True,True
LIJA Women's Mid-Length Panel Golf Shorts,22000.0,0.0006709720761116519,0.9723259270025454,C,Z,0.6787476313825618,CZ,0.9,21,10.476190476190476,7.110689471626838,0.0,False,False
Team Golf Pittsburgh Steelers Putter Grip,21891.23984057,0.0006676550292947891,0.9729935820318402,C,Z,0.7024579306208537,CZ,0.9,120,7.3,5.127942893532232,0.09166666666666666,True,True
Team Golf Tennessee Volunteers Putter Grip,21766.28976285,0.0006638442105194208,0.9736574262423596,C,Z,0.6416274144206761,CZ,0.9,120,7.258333333333334,4.657145649670074,0.08333333333333333,True,True
Under Armour Kids' Mercenary Slide,21244.40979962,0.0006479275340462615,0.9743053537764059,C,Z,0.7121374993053566,CZ,0.9,120,6.325,4.504269683106381,0.125,False,False
Team Golf Texas Longhorns Putter Grip,21141.53984759,0.000644790131078849,0.9749501439074848,C,Z,0.6376286513094273,CZ,0.9,121,6.991735537190083,4.458130900890707,0.0743801652892562,True,True
Merrell Women's Grassbow Sport Hiking Shoe,20697.92999222,0.0006312605935497037,0.9755814045010345,C,Z,0.6491002727100624,CZ,0.9,22,9.409090909090908,6.107443475044678,0.0,False,False
Team Golf San Francisco Giants Putter Grip,20641.73981359,0.0006295468644218647,0.9762109513654563,C,Z,0.6877913525894808,CZ,0.9,121,6.8264462809917354,4.695170720982737,0.09090909090909091,True,True
adidas Men's Germany Black Crest Away Tee,20475.0,0.0006244615117448214,0.9768354128772011,C,Z,0.7447793455206572,CZ,0.9,119,6.882352941176471,5.125834319171582,0.10084033613445378,False,False
Bag Boy Beverage Holder,20166.92979297,0.0006150657614539548,0.9774504786386551,C,Z,0.7495373656665885,CZ,0.9,121,6.669421487603306,4.998980612338322,0.09917355371900827,True,True
Under Armour Men's Tech II T-Shirt,19917.02981453,0.0006074441293014937,0.9780579227679566,C,Z,0.7821935756689227,CZ,0.9,121,6.586776859504132,5.152134543868854,0.1322314049586777,False,False
Nike Men's Free TR 5.0 TB Training Shoe,19898.00995628,0.0006068640477661596,0.9786647868157227,C,Y,0.4500223754218716,CY,0.9,20,9.95,4.4777226354476225,0.0,False,False
Glove It Women's Mod Oval 3-Zip Carry All Gol,19681.04975319,0.0006002470369524821,0.9792650338526752,C,Z,0.682810900042354,CZ,0.9,121,7.396694214876033,5.050543434197577,0.09917355371900827,True,True
Team Golf New England Patriots Putter Grip,19642.13983047,0.0005990603336966285,0.9798640941863718,C,Z,0.7661516093273866,CZ,0.9,121,6.4958677685950414,4.9768195448869905,0.1322314049586777,False,False
Nike Women's Legend V-Neck T-Shirt,19200.0,0.0005855756300610779,0.9804496698164329,C,Z,0.7227705740400657,CZ,0.9,121,6.347107438016529,4.587502486469178,0.08264462809917356,True,True
Nike Women's Free 5.0 TR FIT PRT 4 Training S,18903.01000932,0.0005765178123051262,0.9810261876287381,C,Z,0.5119193600531682,CZ,0.9,20,9.95,5.093597632529023,0.0,False,False
Nike Dri-FIT Crew Sock 6 Pack,18656.0,0.0005689843205426807,0.9815951719492807,C,Z,0.7415455906015139,CZ,0.9,121,7.008264462809917,5.1969476101659815,0.08264462809917356,True,True
Brooks Women's Ghost 6 Running Shoe,18627.9300384,0.000568128222342175,0.9821633001716229,C,Z,0.610484941735466,CZ,0.9,20,10.35,6.318519146962072,0.0,False,False
Garmin Approach S3 Golf GPS Watch,18499.260406999998,0.0005642039619006759,0.9827275041335236,C,Z,0.568954479685208,CZ,0.9,20,3.7,2.1051315748352697,0.1,False,False
TaylorMade White Smoke IN-12 Putter,18498.14990248,0.0005641700929223434,0.9832916742264459,C,Z,0.5421030049599624,CZ,0.9,20,9.25,5.014452795879652,0.0,False,False
Elevation Training Mask 2.0,18397.69997384,0.0005611064975966685,0.9838527807240426,C,Y,0.4316254940428687,CY,0.9,21,10.952380952380953,4.727326839517134,0.0,False,False
Nike Kids' Grade School KD VI Basketball Shoe,18098.189979400002,0.000551971822924596,0.9844047525469671,C,Y,0.4842741687210106,CY,0.9,20,9.05,4.382681226925146,0.0,False,False
Glove It Women's Imperial Golf Glove,17990.99980697,0.0005487026587184995,0.9849534552056857,C,Z,0.7304043358490971,CZ,0.9,121,7.43801652892562,5.432759522844524,0.09917355371900827,True,True
Fitbit The One Wireless Activity & Sleep Trac,17891.0498353,0.0005456543114458304,0.9854991095171315,C,Z,0.5443326186870913,CZ,0.9,20,8.95,4.871776937249466,0.05,False,False
Top Flite Women's 2014 XL Hybrid,17291.34981495,0.0005273642220049922,0.9860264737391364,C,Z,0.6798403551671044,CZ,0.9,120,7.208333333333333,4.900515893496211,0.058333333333333334,True,True
The North Face Women's Recon Backpack,17028.0,0.0005193323869104185,0.9865458061260468,C,Z,0.6479207080466175,CZ,0.9,21,8.19047619047619,5.306779132572295,0.0,False,False
Polar FT4 Heart Rate Monitor,16738.14006028,0.0005104920266588036,0.9870562981527056,C,Z,0.8025551027986151,CZ,0.9,21,8.857142857142858,7.108345196216305,0.09523809523809523,False,False
Bag Boy M330 Push Cart,16237.96994022,0.0004952374728467276,0.9875515356255523,C,Z,0.6512587281829572,CZ,0.9,21,9.666666666666666,6.295501039101919,0.047619047619047616,False,False
Hirzl Women's Soffft Flex Golf Glove,15381.44981346,0.000469114696133838,0.9880206503216862,C,Z,0.6968441435699305,CZ,0.9,121,7.066115702479339,4.923981345060253,0.09917355371900827,True,True
LIJA Women's Argyle Golf Polo,15120.0,0.0004611408086730989,0.9884817911303593,C,Y,0.4456296935347442,CY,0.9,20,9.45,4.2112006039033325,0.0,False,False
Glove It Women's Mod Oval Golf Glove,14832.57983552,0.00045237485846957626,0.9889341659888289,C,Z,0.6347079837512076,CZ,0.9,121,6.132231404958677,3.892176230937157,0.10743801652892562,False,False
Glove It Imperial Golf Towel,14055.20980225,0.00042866605914547825,0.9893628320479744,C,Z,0.78552033508293,CZ,0.9,121,7.264462809917355,5.706383260643764,0.09917355371900827,True,True
Pelican Maverick 100X Kayak,13999.599608,0.00042697001880507397,0.9897898020667795,C,X,0.1732050807568877,CX,0.9,3,13.333333333333334,2.309401076758503,0.0,False,False
Glove It Urban Brick Golf Towel,13335.65979923,0.00040672069735491124,0.9901965227641344,C,Z,0.7010225967778599,CZ,0.9,121,6.892561983471074,4.831841700105249,0.08264462809917356,True,True
Garmin Forerunner 910XT GPS Watch,13199.6696766,0.00040257317122255993,0.990599095935357,C,Y,0.48104569292083466,CY,0.9,3,11.0,5.291502622129181,0.0,False,False
Cleveland Golf Collegiate My Custom Wedge 588,13019.380341,0.00039707457532218163,0.9909961705106792,C,Y,0.4039890908150403,CY,0.9,20,3.1,1.252366181526625,0.0,False,False
Mio ALPHA Heart Rate Monitor/Sport Watch,12935.0,0.00039450108202291896,0.9913906715927021,C,Z,0.5078027115878593,CZ,0.9,20,3.25,1.6503588126605426,0.0,False,False
GoPro HERO3+ Black Edition Camera,12799.6796864,0.0003903739842158157,0.9917810455769179,C,X,0.14320549046737002,CX,0.9,3,10.666666666666666,1.5275252316519468,0.0,False,False
Titleist Small Wheeled Travel Cover,12749.4902805,0.00038884327103965507,0.9921698888479575,C,Z,0.9729334437810437,CZ,0.9,20,2.55,2.4809802816416613,0.15,False,False
Hirzl Women's Hybrid Golf Glove,12531.63982164,0.0003821991085549655,0.9925520879565125,C,Z,0.6424546375414233,CZ,0.9,120,6.966666666666667,4.475767308205249,0.03333333333333333,True,True
Hirzl Men's Hybrid Golf Glove,12381.73981434,0.00037762734859554583,0.9929297153051081,C,Z,0.6356337855535836,CZ,0.9,121,6.8264462809917354,4.339119891464959,0.09917355371900827,True,True
SOLE E35 Elliptical,11999.93994,0.00036598293703440595,0.9932956982421425,C,X,0.0,CX,0.9,1,6.0,0.0,0.0,False,False
Nike Men's Kobe IX Elite Low Basketball Shoe,11799.4103245,0.00035986703828741023,0.9936555652804299,C,Z,0.6428400430004367,CZ,0.9,21,2.8095238095238093,1.8060744065250363,0.047619047619047616,False,False
Yakima DoubleDown Ace Hitch Mount 4-Bike Rack,11718.0,0.00035738412672165165,0.9940129494071516,C,Z,0.5326309338592881,CZ,0.9,20,3.1,1.651155894963793,0.05,False,False
TaylorMade 2014 Purelite Stand Bag,11339.3703465,0.000345836402872273,0.9943587858100238,C,Y,0.4403077567883211,CY,0.9,20,3.15,1.3869694338832115,0.0,False,False
GolfBuddy VT3 GPS Watch,11199.440308,0.0003415687143066944,0.9947003545243305,C,Z,0.5077524002897477,CZ,0.9,21,2.6666666666666665,1.3540064007726602,0.047619047619047616,False,False
Total Gym 1400,10799.639647200001,0.00032937530160634057,0.9950297298259368,C,Y,0.46398036356916844,CY,0.9,3,12.0,5.5677643628300215,0.0,False,False
MDGolf Pittsburgh Penguins Putter,10558.6799088,0.00032202633542754197,0.9953517561613644,C,Z,0.5907148087763009,CZ,0.9,20,6.6,3.898717737923586,0.05,False,False
Ogio Race Golf Shoes,10369.3903355,0.0003162532437010242,0.9956680094050654,C,Z,0.525102209116294,CZ,0.9,19,3.210526315789474,1.6858544608470492,0.05263157894736842,False,False
adidas Brazuca 2014 Official Match Ball,9919.380341,0.0003025285100519034,0.9959705379151172,C,Y,0.44776587274490354,CY,0.9,21,2.9523809523809526,1.3219754338182867,0.0,False,False
Titleist Club Glove Travel Cover,9899.6696766,0.00030192735980581216,0.9962724652749231,C,X,0.09090909090909091,CX,0.9,3,11.0,1.0,0.0,False,False
Garmin Approach S4 Golf GPS Watch,9299.689696200001,0.00028362873193879323,0.9965560940068618,C,X,0.2014515483354322,CX,0.9,3,10.333333333333334,2.0816659994661326,0.0,False,False
Merrell Men's All Out Flash Trail Running Sho,9129.1698257,0.0002784280923238989,0.9968345220991858,C,Y,0.39583401774445315,CY,0.9,21,3.9523809523809526,1.5644868320376006,0.0,False,False
Merrell Women's Siren Mid Waterproof Hiking B,9044.3303685,0.0002758405965632775,0.997110362695749,C,Z,0.5057964419450237,CZ,0.9,20,3.35,1.6944180805158293,0.05,False,False
insta-bed Neverflat Air Mattress,8699.420318999999,0.00026532127783669625,0.9973756839735858,C,Z,0.6261256213396627,CZ,0.9,21,2.761904761904762,1.7292993351285921,0.047619047619047616,False,False
TaylorMade Women's RBZ SL Rescue,8449.3503575,0.0002576944614166592,0.9976333784350024,C,Z,0.6613595464678362,CZ,0.9,21,3.0952380952380953,2.047065262876636,0.047619047619047616,False,False
Clicgear 8.0 Shoe Brush,8441.549941316,0.00025745655862386313,0.9978908349936263,C,Z,0.703452598707901,CZ,0.9,121,6.983471074380165,4.912540875274185,0.06611570247933884,True,True
Diamondback Boys' Insight 24 Performance Hybr,8399.7197256,0.0002561807901382648,0.9981470157837645,C,Y,0.4460712855998855,CY,0.9,3,9.333333333333334,4.163331998932265,0.0,False,False
Stiga Master Series ST3100 Competition Indoor,8249.749755,0.0002516068963869973,0.9983986226801516,C,Y,0.30199337741082993,CY,0.9,3,8.333333333333334,2.516611478423583,0.0,False,False
Cleveland Golf Women's 588 RTX CB Satin Chrom,8159.3198572,0.0002488488992838414,0.9986474715794355,C,Z,0.5769693220752009,CZ,0.9,21,3.238095238095238,1.868281614338746,0.14285714285714285,False,False
Nike Men's Fingertrap Max Training Shoe,7874.3698677,0.00024015828628189557,0.9988876298657173,C,Z,0.537910501751057,CZ,0.9,20,3.15,1.6944180805158295,0.0,False,False
Diamondback Girls' Clarity 24 Hybrid Bike 201,7799.7397452000005,0.00023788216227124594,0.9991255120279886,C,Y,0.29037824751041347,CY,0.9,3,8.666666666666666,2.516611478423583,0.0,False,False
LIJA Women's Button Golf Dress,7776.0,0.00023715813017473659,0.9993626701581634,C,Z,0.5500946888188128,CZ,0.9,21,3.4285714285714284,1.8860389330930727,0.0,False,False
Merrell Women's Grassbow Sport Waterproof Hik,7019.460297,0.00021408462948460918,0.999576754787648,C,Z,0.5155004759849797,CZ,0.9,21,2.5714285714285716,1.325572652532805,0.0,False,False
Polar Loop Activity Tracker,5277.599851200001,0.00016096009677482768,0.9997377148844228,C,Z,0.6105792475542055,CZ,0.9,20,2.4,1.465390194130093,0.1,False,False
Bowflex SelectTech 1090 Dumbbells,4199.9299314,0.0001280925320724966,0.9998658074164952,C,X,0.0,CX,0.9,1,7.0,0.0,0.0,False,False
Bushnell Pro X7 Jolt Slope Rangefinder,2399.9599608,7.319573261285521e-05,0.9999390031491081,C,X,0.0,CX,0.9,1,4.0,0.0,0.0,False,False
SOLE E25 Elliptical,1999.9799804,6.099685089230585e-05,1.0000000000000004,C,X,0.0,CX,0.9,1,2.0,0.0,0.0,False,False
