planning_unit,service_level,z,demand_mean,demand_std,leadtime_mean,leadtime_std,demand_variance_term,leadtime_variance_term,total_variance,sigma_demand_over_leadtime,safety_stock,leadtime_share_of_variance,demand_share_of_variance,dominant_driver,demand_only_safety_stock,understatement_vs_demand_only,segment,abc_class,xyz_class,unit_price,annual_demand,expected_demand_over_leadtime,reorder_point,economic_order_quantity,days_of_cover_at_eoq,expected_fill_rate,orders_per_year,ordering_cost,cycle_stock_holding_cost,safety_stock_holding_cost,total_annual_cost
Team Golf Texas Longhorns Putter Grip,0.9,1.2815515655446004,0.8426294820717132,1.7389834008299918,3.9938735841568036,1.4187410036618897,12.077726404330853,1.42915568681802,13.506882091148874,3.6751710288296615,4.7099211856408125,0.10580944419101375,0.8941905558089862,demand,4.453779163772309,1.057511163542189,CZ,C,Z,24.98999977,307.5597609561753,3.365355629677944,8.075276815318757,194.59870722050655,230.9422010040054,0.9991058816934227,1.580482035821896,395.120508955474,395.12050895547395,19.12640101870583,809.3674189296537
Team Golf San Francisco Giants Putter Grip,0.9,1.2815515655446004,0.8227091633466136,1.7885317145618962,3.9938735841568036,1.4187410036618897,12.775785317035242,1.36238204173087,14.138167358766111,3.760075445887504,4.818730574242942,0.0963619970792148,0.9036380029207852,demand,4.580679309681629,1.0519685506161003,CZ,C,Z,24.98999977,300.288844621514,3.2857963949337847,8.104526969176726,192.2847282994427,233.7213888772887,0.9990742171110332,1.5616884776927151,390.4221194231788,390.42211942317886,19.56826234057875,800.4125011869364
Bag Boy Beverage Holder,0.9,1.2815515655446004,0.8037848605577689,1.824925903665208,3.9938735841568036,1.4187410036618897,13.301015078570822,1.300426722169895,14.601441800740718,3.8211832985007037,4.897043438426457,0.08906152830085079,0.9109384716991492,demand,4.673889906765738,1.0477447128863029,CZ,C,Z,24.98999977,293.3814741035856,3.210215121926833,8.10725856035329,190.06035522492226,236.45674925132832,0.9990481605128096,1.5436226758410008,385.9056689602502,385.90566896025024,19.88628108999304,791.6976190104934
Glove It Women's Mod Oval 3-Zip Carry All Gol,0.9,1.2815515655446004,0.8914342629482072,1.828424711025774,3.9938735841568036,1.4187410036618897,13.352066248542249,1.5995023641128665,14.951568612655116,3.866725825896519,4.955408535709422,0.10697890004390817,0.8930210999560918,demand,4.6828508406729314,1.0582033689113455,CZ,C,Z,21.98999977,325.3735059760956,3.560275754801135,8.515684290510556,213.37169174267757,239.35774135156234,0.9991420460820316,1.5249141220124467,381.2285305031117,381.2285305031118,17.707532791082265,780.1645937973058
Nike Women's Legend V-Neck T-Shirt,0.9,1.2815515655446004,0.7649402390438247,1.6655939740989336,3.9938735841568036,1.4187410036618897,11.07981722325172,1.1777720825323896,12.257589305784109,3.501084018669662,4.486819705229286,0.0960851316805518,0.9039148683194482,demand,4.265818600456998,1.05180743146195,CZ,C,Z,25.0,279.203187250996,3.055074614175722,7.541894319405008,185.37386331444512,242.3377067287798,0.9991058478701071,1.5061626394298666,376.54065985746666,376.54065985746666,18.227705052493974,771.3090247674273
Nike Dri-FIT Crew Sock 6 Pack,0.9,1.2815515655446004,0.8446215139442231,1.7403088609155433,3.9938735841568036,1.4187410036618897,12.096144803441119,1.4359209113860603,13.53206571482718,3.678595617192406,4.714309972218434,0.10611246957016411,0.8938875304298358,demand,4.457173852018687,1.0576903950208916,CZ,C,Z,22.0,308.28685258964146,3.37331155315236,8.087621525370794,207.6464358476436,245.84554432904972,0.9991612839549177,1.484672016310652,371.168004077663,371.16800407766294,16.853658150680904,759.1896663060069
Glove It Women's Imperial Golf Glove,0.9,1.2815515655446004,0.896414342629482,1.8338859502699922,3.9938735841568036,1.4187410036618897,13.431946734433678,1.6174238193956765,15.049370553829355,3.8793518213522935,4.971589399952329,0.1074745162005542,0.8925254837994457,demand,4.696837836490525,1.0584971363769924,CZ,C,Z,19.98999977,327.19123505976097,3.5801655634871743,8.551754963439503,224.4154513679702,250.34790352604676,0.9991816034390154,1.4579710668998056,364.4927667249514,364.49276672495137,16.149586531256993,745.1351199811597
Top Flite Women's 2014 XL Hybrid,0.9,1.2815515655446004,0.8615537848605578,1.7782770224545577,3.9938735841568036,1.4187410036618897,12.629703298424488,1.4940702929226297,14.123773591347117,3.7581609320713127,4.8162770260645456,0.10578407273803701,0.8942159272619631,demand,4.554415612157681,1.0574961611337896,CZ,C,Z,19.98999977,314.4671314741036,3.4409369026848955,8.25721392874944,220.008547846509,255.3625225871619,0.9991912892755874,1.4293405167761686,357.33512919404217,357.3351291940421,15.645073704534065,730.3153320926183
Hirzl Women's Soffft Flex Golf Glove,0.9,1.2815515655446004,0.851593625498008,1.8179583418223308,3.9938735841568036,1.4187410036618897,13.199642494320537,1.4597249970045982,14.659367491325135,3.828755344929359,4.906747406381476,0.0995762605629751,0.9004237394370249,demand,4.656045008566428,1.0538444962095068,CZ,C,Z,17.98999977,310.8316733067729,3.401157285312816,8.307904691694292,230.5713666832284,270.7528095321185,0.999213842384759,1.348093120919956,337.023280229989,337.023280229989,14.344262515740764,688.3908229757187
Glove It Imperial Golf Towel,0.9,1.2815515655446004,0.8754980079681275,1.8726762938349866,3.9938735841568036,1.4187410036618897,14.00618117715066,1.542824638569994,15.549005815720655,3.943222770237646,5.053443314489171,0.09922336237151173,0.9007766376284883,demand,4.796185319533136,1.0536380431148722,CZ,C,Z,15.98999977,319.55677290836655,3.496628367005807,8.550071681494979,247.97511715885943,283.2389279038622,0.9992471636295411,1.288664671559163,322.16616788979076,322.16616788979076,13.130740583413358,657.4630763629949
Glove It Urban Brick Golf Towel,0.9,1.2815515655446004,0.8306772908366534,1.8103543825645902,3.9938735841568036,1.4187410036618897,13.089453350806233,1.3888998050908388,14.478353155897072,3.805043121424128,4.876358969225804,0.09592940510123807,0.904070594898762,demand,4.6365702077787185,1.0517168404017252,CZ,C,Z,15.98999977,303.1972111553785,3.3176200888314487,8.193979058057252,241.54424355302797,290.7798807281056,0.9992542036143413,1.2552450296287663,313.8112574071916,313.81125740719153,12.670609054408184,640.2931238687912
Hirzl Women's Hybrid Golf Glove,0.9,1.2815515655446004,0.8326693227091634,1.8492240420085697,3.9938735841568036,1.4187410036618897,13.657568157470857,1.3955691823214333,15.05313733979229,3.879837282643731,4.972211543630381,0.09270952299307794,0.9072904770069221,demand,4.736120829855901,1.0498489633723436,CZ,C,Z,14.98999977,303.9243027888446,3.3255760123058646,8.297787555936246,249.7699695872701,299.96297782968804,0.9992645880639136,1.216816830666478,304.2042076666195,304.20420766661954,12.11168560800425,620.5201009412432
Hirzl Men's Hybrid Golf Glove,0.9,1.2815515655446004,0.8227091633466136,1.7185986985378086,3.9938735841568036,1.4187410036618897,11.796231078049622,1.36238204173087,13.158613119780492,3.627480271452967,4.648803020862702,0.10353538243957407,0.896464617560426,demand,4.40157109652722,1.0561690175879574,CZ,C,Z,14.98999977,300.288844621514,3.2857963949337847,7.9345994157964865,248.27163591349176,301.77327173988584,0.9993082720301905,1.209517323703249,302.37933092581227,302.3793309258122,11.323902884694922,616.0825647363195
Clicgear 8.0 Shoe Brush,0.9,1.2815515655446004,0.8416334661354582,1.8405588148339485,3.9938735841568036,1.4187410036618897,13.529872809461997,1.4257790649925903,14.955651874454588,3.8672537897653663,4.956085148632094,0.09533379600978352,0.9046662039902165,demand,4.7139279738336635,1.0513705716639308,CZ,C,Z,9.989999771,307.19621513944224,3.361377667940736,8.31746281657283,307.5980023478119,365.4773897718381,0.9994047813282182,0.9986937912297773,249.67344780744432,249.6734478074443,8.045584543732309,507.3924801586209
