,weeks_covered,interior_gaps,unit_price,revenue,revenue_share
Nike Women's Tempo Shorts,115,6,30.0,25740.0,0.00079
Nike Men's Deutschland Weltmeister Winners Bl,114,7,30.0,25470.0,0.00078
Bridgestone e6 Straight Distance NFL Tennesse,105,14,31.98999977,24312.39977408,0.00074
Team Golf St. Louis Cardinals Putter Grip,112,7,24.98999977,22990.79978397,0.0007
LIJA Women's Mid-Length Panel Golf Shorts,21,0,100.0,22000.0,0.00067
Team Golf Pittsburgh Steelers Putter Grip,109,11,24.98999977,21891.23984057,0.00067
Team Golf Tennessee Volunteers Putter Grip,110,10,24.98999977,21766.28976285,0.00066
Under Armour Kids' Mercenary Slide,105,15,27.98999977,21244.40979962,0.00065
Team Golf Texas Longhorns Putter Grip,112,9,24.98999977,21141.53984759,0.00064
Merrell Women's Grassbow Sport Hiking Shoe,22,0,99.98999786,20697.92999222,0.00063
Team Golf San Francisco Giants Putter Grip,110,11,24.98999977,20641.73981359,0.00063
adidas Men's Germany Black Crest Away Tee,107,12,25.0,20475.0,0.00062
Bag Boy Beverage Holder,109,12,24.98999977,20166.92979297,0.00062
Under Armour Men's Tech II T-Shirt,105,16,24.98999977,19917.02981453,0.00061
Nike Men's Free TR 5.0 TB Training Shoe,20,0,99.98999786,19898.00995628,0.00061
Glove It Women's Mod Oval 3-Zip Carry All Gol,109,12,21.98999977,19681.04975319,0.0006
Team Golf New England Patriots Putter Grip,105,16,24.98999977,19642.13983047,0.0006
Nike Women's Legend V-Neck T-Shirt,111,10,25.0,19200.0,0.00059
Nike Women's Free 5.0 TR FIT PRT 4 Training S,20,0,94.98999786,18903.01000932,0.00058
Nike Dri-FIT Crew Sock 6 Pack,111,10,22.0,18656.0,0.00057
Brooks Women's Ghost 6 Running Shoe,20,0,89.98999786,18627.9300384,0.00057
Garmin Approach S3 Golf GPS Watch,18,2,249.9900055,18499.260406999998,0.00056
TaylorMade White Smoke IN-12 Putter,20,0,99.98999786,18498.14990248,0.00056
Elevation Training Mask 2.0,21,0,79.98999786,18397.69997384,0.00056
Nike Kids' Grade School KD VI Basketball Shoe,20,0,99.98999786,18098.189979400002,0.00055
Glove It Women's Imperial Golf Glove,109,12,19.98999977,17990.99980697,0.00055
Fitbit The One Wireless Activity & Sleep Trac,19,1,99.94999695,17891.0498353,0.00055
Top Flite Women's 2014 XL Hybrid,113,7,19.98999977,17291.34981495,0.00053
The North Face Women's Recon Backpack,21,0,99.0,17028.0,0.00052
Polar FT4 Heart Rate Monitor,19,2,89.98999786,16738.14006028,0.00051
Bag Boy M330 Push Cart,20,1,79.98999786,16237.96994022,0.0005
Hirzl Women's Soffft Flex Golf Glove,109,12,17.98999977,15381.44981346,0.00047
LIJA Women's Argyle Golf Polo,20,0,80.0,15120.0,0.00046
Glove It Women's Mod Oval Golf Glove,108,13,19.98999977,14832.57983552,0.00045
Glove It Imperial Golf Towel,109,12,15.98999977,14055.20980225,0.00043
Pelican Maverick 100X Kayak,3,0,349.9899902,13999.599608,0.00043
Glove It Urban Brick Golf Towel,111,10,15.98999977,13335.65979923,0.00041
Garmin Forerunner 910XT GPS Watch,3,0,399.9899902,13199.6696766,0.0004
Cleveland Golf Collegiate My Custom Wedge 588,20,0,209.9900055,13019.380341,0.0004
Mio ALPHA Heart Rate Monitor/Sport Watch,20,0,199.0,12935.0,0.00039
GoPro HERO3+ Black Edition Camera,3,0,399.9899902,12799.6796864,0.00039
Titleist Small Wheeled Travel Cover,17,3,249.9900055,12749.4902805,0.00039
Hirzl Women's Hybrid Golf Glove,116,4,14.98999977,12531.63982164,0.00038
Hirzl Men's Hybrid Golf Glove,109,12,14.98999977,12381.73981434,0.00038
SOLE E35 Elliptical,1,0,1999.98999,11999.93994,0.00037
Nike Men's Kobe IX Elite Low Basketball Shoe,20,1,199.9900055,11799.4103245,0.00036
Yakima DoubleDown Ace Hitch Mount 4-Bike Rack,19,1,189.0,11718.0,0.00036
TaylorMade 2014 Purelite Stand Bag,20,0,179.9900055,11339.3703465,0.00035
GolfBuddy VT3 GPS Watch,20,1,199.9900055,11199.440308,0.00034
Total Gym 1400,3,0,299.9899902,10799.639647200001,0.00033
MDGolf Pittsburgh Penguins Putter,19,1,79.98999786,10558.6799088,0.00032
Ogio Race Golf Shoes,18,1,169.9900055,10369.3903355,0.00032
adidas Brazuca 2014 Official Match Ball,21,0,159.9900055,9919.380341,0.0003
Titleist Club Glove Travel Cover,3,0,299.9899902,9899.6696766,0.0003
Garmin Approach S4 Golf GPS Watch,3,0,299.9899902,9299.689696200001,0.00028
Merrell Men's All Out Flash Trail Running Sho,21,0,109.9899979,9129.1698257,0.00028
Merrell Women's Siren Mid Waterproof Hiking B,19,1,134.9900055,9044.3303685,0.00028
insta-bed Neverflat Air Mattress,20,1,149.9900055,8699.420318999999,0.00027
TaylorMade Women's RBZ SL Rescue,20,1,129.9900055,8449.3503575,0.00026
Clicgear 8.0 Shoe Brush,113,8,9.989999771,8441.549941316,0.00026
Diamondback Boys' Insight 24 Performance Hybr,3,0,299.9899902,8399.7197256,0.00026
Stiga Master Series ST3100 Competition Indoor,3,0,329.9899902,8249.749755,0.00025
Cleveland Golf Women's 588 RTX CB Satin Chrom,18,3,119.9899979,8159.3198572,0.00025
Nike Men's Fingertrap Max Training Shoe,20,0,124.9899979,7874.3698677,0.00024
Diamondback Girls' Clarity 24 Hybrid Bike 201,3,0,299.9899902,7799.7397452000005,0.00024
LIJA Women's Button Golf Dress,21,0,108.0,7776.0,0.00024
Merrell Women's Grassbow Sport Waterproof Hik,21,0,129.9900055,7019.460297,0.00021
Polar Loop Activity Tracker,18,2,109.9499969,5277.599851200001,0.00016
Bowflex SelectTech 1090 Dumbbells,1,0,599.9899902,4199.9299314,0.00013
Bushnell Pro X7 Jolt Slope Rangefinder,1,0,599.9899902,2399.9599608,7e-05
SOLE E25 Elliptical,1,0,999.9899902,1999.9799804,6e-05
